artist,album,rank,year,reviewer_url
Ratking,So It Goes,200,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Wu Lyf,Go Tell Fire to the Mountain,199,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jean Grae / Quelle Chris,Everything’s Fine,198,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fatima Al Qadiri,Genre-Specific Xperience,197,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Portal,Vexovoid,196,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Downtown Boys,Full Communism,195,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Titus Andronicus,The Monitor,194,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Lil Peep,Hellboy,193,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kelela,Cut 4 Me,192,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kate Bush,50 Words for Snow,191,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Huerco S.,For Those of You Who Have Never (and Also Those Who Have),190,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Miranda Lambert,The Weight of These Wings,189,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Pusha-T,Daytona,188,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Iceage,Beyondless,187,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Various Artists,Mono No Aware,186,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Hailu Mergia,Lala Belu,185,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Soccer Mommy,Clean,184,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Elysia Crampton,American Drift,183,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
G.L.O.S.S.,Trans Day of Revenge,182,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jamila Woods,LEGACY! LEGACY!,181,2019,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Chvrches,The Bones of What You Believe,180,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Shabazz Palaces,Black Up,179,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Savages,Silence Yourself,178,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Margo Price,All American Made,177,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Gil Scott-Heron,I’m New Here,176,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jessie Ware,Devotion,175,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sharon Van Etten,Are We There,174,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Hurray for the Riff Raff,Small Town Heroes,173,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Popcaan,Where We Come From,172,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
JPEGMAFIA,Veteran,171,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Skee Mask,Compro,170,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Paramore,After Laughter,169,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Julianna Barwick,The Magic Place,168,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
(Sandy) Alex G,DSU,167,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Nicki Minaj,The Pinkprint,166,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jay Som,Everybody Works,165,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
