artist,album,genre,rank,year,reviewer,reviewer_url
Ratking,So It Goes,Hip Hop,200,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Wu Lyf,Go Tell Fire to the Mountain,Indie,199,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jean Grae / Quelle Chris,Everything's Fine,Hip Hop,198,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fatima Al Qadiri,Genre-Specific Xperience,Electronic,197,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Portal,Vexovoid,Metal,196,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Downtown Boys,Full Communism,Punk Rock,195,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Titus Andronicus,The Monitor,Punk Rock,194,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Lil Peep,Hellboy,Hip Hop,193,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kelela,Cut 4 Me,R&B,192,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kate Bush,50 Words for Snow,Rock,191,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Huerco S.,For Those of You Who Have Never (and Also Those Who Have),Electronic,190,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Miranda Lambert,The Weight of These Wings,Country,189,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Pusha T,Daytona,Hip Hop,188,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Iceage,Beyondless,Punk Rock,187,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Various Artists,Mono No Aware,Ambient,186,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Hailu Mergia,Lala Belu,Jazz,185,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Soccer Mommy,Clean,Indie,184,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Elysia Crampton,American Drift,Electronic,183,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
G.L.O.S.S.,Trans Day of Revenge,Punk Rock,182,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jamila Woods,LEGACY! LEGACY!,R&B,181,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Chvrches,The Bones of What You Believe,Indie Pop,180,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Shabazz Palaces,Black Up,Hip Hop,179,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Savages,Silence Yourself,Rock,178,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Margo Price,All American Made,Country,177,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Gil Scott-Heron,I'm New Here,Blues,176,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jessie Ware,Devotion,Pop,175,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sharon Van Etten,Are We There,Indie,174,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Hurray for the Riff Raff,Small Town Heroes,Americana,173,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Popcaan,Where We Come From,Reggae,172,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
JPEGMAFIA,Veteran,Hip Hop,171,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Skee Mask,Compro,Electronic,170,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Paramore,After Laughter,Alt Rock,169,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Julianna Barwick,The Magic Place,Electronic,168,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
