artist,genre
Ratking,Hip Hop
Wu Lyf,Indie
Jean Grae / Quelle Chris,Hip Hop
Fatima Al Qadiri,Electronic
Portal,Metal
Downtown Boys,Punk Rock
Titus Andronicus,Punk Rock
Lil Peep,Hip Hop
Kelela,R&B
Kate Bush,Rock
Huerco S.,Electronic
Miranda Lambert,Country
Pusha T,Hip Hop
Iceage,Punk Rock
Various Artists,Ambient
Hailu Mergia,Jazz
Soccer Mommy,Indie
Elysia Crampton,Electronic
G.L.O.S.S.,Punk Rock
Jamila Woods,R&B
Chvrches,Indie Pop
Shabazz Palaces,Hip Hop
Savages,Rock
Margo Price,Country
Gil Scott-Heron,Blues
Jessie Ware,Pop
Sharon Van Etten,Indie
Hurray for the Riff Raff,Americana
Popcaan,Reggae
JPEGMAFIA,Hip Hop
Skee Mask,Electronic
Paramore,Alt Rock
Julianna Barwick,Electronic
(Sandy) Alex G,Indie Rock
Nicki Minaj,Hip Hop
Jay Som,Indie Rock
Hop Along,Indie Rock
Meek Mill,Hip Hop
Sturgill Simpson,Country
The 1975,Indie Pop
Noname,Hip Hop
Pallbearer,Metal
Sleigh Bells,Pop
Jenny Lewis,Indie Rock
21 Savage / Metro Boomin,Hip Hop
Mica Levi,Pop
Purple Mountains,Indie
Arctic Monkeys,Indie Rock
Lady Gaga,Pop
Playboi Carti,Hip Hop
Mac DeMarco,Indie Rock
Nicolas Jaar,Electronic
The National,Indie Rock
Sheer Mag,Punk Rock
Chief Keef,Hip Hop
PJ Harvey,Alt Rock
Weyes Blood,Indie
Fennesz,Electronic
Rick Ross,Hip Hop
Parquet Courts,Indie Rock
Emeralds,Electronic
Alabama Shakes,Rock
A$AP Rocky,Hip Hop
Tim Hecker,Electronic
Fleet Foxes,Indie Folk
M83,Pop
Frankie Cosmos,Indie Rock
Amen Dunes,Indie Rock
Run the Jewels,Hip Hop
Tame Impala,Psychadelic Rock
Radiohead,Rock
Car Seat Headrest,Indie Rock
Panda Bear,Indie
Yves Tumor,Electronic
Real Estate,Indie
Deafheaven,Metal
Snail Mail,Indie Rock
The Hotelier,Indie Rock
"Tyler, the Creator",Hip Hop
Girlpool,Indie Rock
Leonard Cohen,Folk
Death Grips,Hip Hop
Janelle Monáe,R&B
U.S. Girls,Pop
Sampha,Electronic
Japandroids,Alt Rock
Daft Punk,Electronic
EMA,Noise Rock
Waka Flocka Flame,Hip Hop
Julia Holter,Pop
Kaytranada,Electronic
Dirty Projectors,Alt Indie
Moses Sumney,Soul/R&B
Disclosure,House/Electronic
Waxahatchee,Indie Rock
Helado Negro,Folk
Jeremih,R&B
Chromatics,Indie Rock
Ariana Grande,Pop
Bad Bunny,Trap/Electronic
Todd Terje,Electronic
The War on Drugs,Indie Rock
Low,Indie Rock
Jai Paul,Electronic
Vampire Weekend,Indie Rock
Tirzah,Alt Indie
JAY-Z & Kanye West,Hip Hop
Bon Iver,Indie Folk
Joyce Manor,Indie Rock
Caribou,Electronic
Jenny Hval,Electronic
Rae Sremmurd,Hip Hop
Haim,Rock
Jessica Pratt,Folk
Chance the Rapper,Hip Hop
Burial,Dubstep/Electronic
Girls,Indie Rock
Solange,R&B
Aphex Twin,Electronic
Kurt Vile,Indie Rock
Four Tet,Electronic
Arcade Fire,Indie Rock
The Weeknd,R&B
SOPHIE,Pop
Cardi B,Hip Hop
Father John Misty,Indie Folk
Robyn,Pop
Perfume Genius,Indie Pop
Drake,Hip Hop
Flying Lotus,Electronic
Courtney Barnett,Indie Rock
Fever Ray,Pop
Future,Hip Hop
Mitski,Indie Rock
Danny Brown,Hip Hop
Grouper,Ambient
Arca,Electronic
King Krule,Hip Hop
Taylor Swift,Pop
Kamasi Washington,Jazz
Kendrick Lamar,Hip Hop
